timestamp,movement,heart_rate,state,hr_change,hr_rolling_mean,movement_rolling_mean
354,5.772864583333333,125.8,active,0.5333333333333314,123.4,9.105591145833333
355,12.5970703125,126.33333333333333,active,0.5333333333333314,123.93333333333332,9.742787760416666
356,12.186341145833332,126.86666666666666,active,0.5333333333333314,124.46666666666667,9.767223958333332
357,17.19734375,127.4,active,0.5333333333333456,125.0,10.4195625
358,8.896666666666667,127.93333333333334,active,0.5333333333333314,125.53333333333333,10.4085
359,6.32359375,128.46666666666667,active,0.5333333333333314,126.06666666666668,10.214348958333334
360,10.938346354166669,129.0,active,0.5333333333333314,126.6,10.185497395833334
361,7.834375,128.93333333333334,active,-0.06666666666666288,127.07333333333334,10.362666666666666
362,9.563216145833334,128.86666666666667,active,-0.06666666666666288,127.48666666666665,10.12241015625
363,16.674270833333335,128.8,active,-0.06666666666666288,127.84,10.798408854166667
364,15.748450520833334,128.73333333333332,active,-0.0666666666666913,128.13333333333333,11.795967447916667
365,8.983450520833333,128.66666666666666,active,-0.06666666666666288,128.36666666666667,11.434605468750002
366,15.326744791666666,128.6,active,-0.06666666666666288,128.54,11.748645833333333
367,18.6694140625,128.53333333333333,active,-0.06666666666666288,128.65333333333334,11.895852864583333
368,18.207994791666668,128.46666666666667,active,-0.06666666666666288,128.70666666666665,12.826985677083334
369,18.843971354166666,128.4,active,-0.06666666666666288,128.7,14.079023437500002
370,10.354114583333333,128.33333333333334,active,-0.06666666666666288,128.63333333333333,14.020600260416666
371,13.2353125,128.26666666666668,active,-0.06666666666666288,128.56666666666666,14.560694010416668
372,14.1648046875,128.2,active,-0.0666666666666913,128.5,15.020852864583333
373,14.854309895833332,128.13333333333333,active,-0.06666666666666288,128.43333333333334,14.838856770833335
374,10.454401041666667,128.06666666666666,active,-0.06666666666666288,128.36666666666667,14.309451822916667
375,11.906783854166669,128.0,active,-0.06666666666666288,128.3,14.60178515625
376,14.260403645833334,127.86666666666666,active,-0.13333333333333997,128.22666666666666,14.495151041666665
377,18.087018229166667,127.73333333333333,active,-0.13333333333332575,128.14666666666665,14.436911458333332
378,13.86546875,127.6,active,-0.13333333333333997,128.06,14.002658854166665
379,18.4704296875,127.46666666666667,active,-0.13333333333332575,127.96666666666667,13.9653046875
380,21.71680989583333,127.33333333333333,active,-0.13333333333333997,127.86666666666667,15.101574218749999
381,15.975286458333333,127.2,active,-0.13333333333332575,127.76000000000002,15.375571614583333
382,15.567760416666667,127.06666666666666,active,-0.13333333333333997,127.64666666666668,15.515867187499998
383,19.601666666666667,126.93333333333334,active,-0.13333333333332575,127.52666666666667,15.990602864583334
384,18.041692708333333,126.8,active,-0.13333333333333997,127.4,16.74933203125
385,15.976653645833334,126.66666666666667,active,-0.13333333333332575,127.26666666666668,17.156319010416667
386,11.535247395833334,126.53333333333333,active,-0.13333333333333997,127.13333333333335,16.883803385416666
387,12.7135546875,126.4,active,-0.13333333333332575,127.0,16.34645703125
388,13.836549479166669,126.26666666666667,active,-0.13333333333333997,126.86666666666665,16.343565104166668
389,10.87109375,126.13333333333334,active,-0.13333333333332575,126.73333333333332,15.58363151041667
390,9.523645833333331,126.0,active,-0.13333333333333997,126.6,14.364315104166668
